inv_id,material_id,quantity,location,last_count_date
MI-559,RM-25,39555,A1-2,14-05-2025
MI-560,RM-27,24388,A7-16,2025-04-22
MI-561,RM-118,3257,A4-24,2025-12-16
MI-562,RM-95,17057,A6-13,28-06-2025
MI-563,RM-13,42241,A8-6,2026-02-11
MI-564,RM-6,18334,A4-3,08/16/2026
MI-565,RM-70,35273,A9-11,09/07/2025
MI-566,RM-94,4673,A6-10,06/04/2026
MI-567,RM-94,17614,A4-18,2025-02-03
MI-568,RM-85,9503,A9-23,2025-01-05
MI-569,RM-9,13559,A3-10,2026-10-24
MI-570,RM-114,14409,A5-3,09-09-2026
MI-571,RM-39,25223,A4-11,11/06/2025
MI-572,RM-71,47613,A5-1,03/10/2025
MI-573,RM-93,16812,A3-12,08-12-2026
MI-574,RM-74,40816,A9-24,2025-05-05
MI-575,RM-94,47789,A8-3,2026-08-21
MI-576,RM-100,45453,A9-7,2026-02-09
MI-577,RM-120,30594,A2-14,10/18/2025
MI-578,RM-33,18771,A1-30,10/04/2026
MI-579,RM-50,38061,A5-22,2025-03-24
MI-580,RM-101,48924,A5-1,2025-05-17
MI-581,RM-77,33422,A5-9,2025-04-16
MI-582,RM-48,8260,A3-1,2025-10-25
MI-583,RM-90,44376,A2-24,02-04-2025
MI-584,RM-74,17411,A6-16,2025-06-11
MI-585,RM-2,36371,A7-7,2025-01-21
MI-586,RM-120,23298,A1-10,15-05-2025
MI-587,RM-27,49352,A7-11,2025-11-15
MI-588,RM-23,30639,A5-17,2026-01-16
MI-589,RM-18,18184,A3-29,2025-04-25
MI-590,RM-37,46396,A8-19,2025-04-02
MI-591,RM-95,43565,A5-20,2025-07-24
MI-592,RM-62,6254,A3-24,2025-11-05
MI-593,RM-28,16383,A5-7,2025-04-02
MI-594,RM-107,18839,A9-15,10-02-2026
MI-595,RM-115,12184,A6-9,11/09/2026
MI-596,RM-53,40204,A6-29,2025-07-07
MI-597,RM-119,23486,A2-15,22-07-2026
MI-598,RM-67,5125,A8-9,2026-11-27
MI-599,RM-50,27991,A9-3,2026-12-13
MI-600,RM-64,45636,A5-20,12/06/2025
MI-601,RM-19,42283,A6-4,12/25/2025
MI-602,RM-78,11846,A1-18,10/28/2025
MI-603,RM-94,7431,A9-25,09/13/2026
MI-604,RM-73,43459,A4-20,10/12/2026
MI-605,RM-78,31573,A2-5,26-06-2026
MI-606,RM-31,31663,A5-18,2025-07-21
MI-607,RM-16,27372,A7-21,2025-10-17
MI-608,RM-91,10275,A2-26,2026-01-10
MI-609,RM-115,9185,A4-10,2025-10-17
MI-610,RM-95,40148,A2-18,2026-11-13
MI-611,RM-68,33471,A1-13,05-10-2025
MI-612,RM-39,41668,A8-5,03/04/2026
MI-613,RM-109,38751,A1-18,2026-08-01
MI-614,RM-29,9426,A6-16,16-04-2025
MI-615,RM-105,39360,A8-4,06/23/2025
MI-616,RM-33,42224,A9-29,25-09-2025
MI-617,RM-13,45053,A4-2,25-09-2026
MI-618,RM-87,2180,A4-29,04/19/2026
MI-619,RM-89,29437,A2-7,2025-08-26
MI-620,RM-28,22522,A6-16,08/04/2026
MI-621,RM-44,28685,A9-8,2025-01-02
MI-622,RM-10,44194,A7-17,2025-02-27
MI-623,RM-9,43524,A3-17,10-09-2026
MI-624,RM-93,38166,A1-23,11/02/2025
MI-625,RM-78,19128,A8-29,2025-02-10
MI-626,RM-82,13137,A5-23,2025-12-26
MI-627,RM-26,16312,A8-19,2025-12-02
MI-628,RM-64,33964,A3-23,12/08/2025
MI-629,RM-52,47047,A3-14,2026-05-17
MI-630,RM-38,8195,A3-21,05-05-2025
MI-631,RM-120,7397,A2-11,2026-08-16
MI-632,RM-107,21845,A7-29,2025-07-19
MI-633,RM-56,11530,A1-7,23-08-2025
MI-634,RM-15,34979,A7-3,03/27/2026
MI-635,RM-78,16009,A7-21,2026-08-03
MI-636,RM-95,39099,A1-21,2026-09-22
MI-637,RM-81,1579,A1-25,02/22/2025
MI-638,RM-15,34642,A7-7,03/25/2026
MI-639,RM-104,16196,A6-1,10/03/2025
MI-640,RM-63,13575,A8-21,2025-12-15
MI-641,RM-32,13221,A6-26,24-09-2026
MI-642,RM-98,19855,A7-17,2026-03-19
MI-643,RM-22,19170,A7-29,12/05/2026
MI-644,RM-118,16111,A3-11,01-05-2025
MI-645,RM-30,39202,A3-26,09-10-2025
MI-646,RM-29,23856,A2-9,12/12/2025
MI-647,RM-13,3318,A8-22,09/15/2026
MI-648,RM-10,45894,A8-18,11/24/2025
MI-649,RM-8,49648,A1-13,09/26/2026
MI-650,RM-94,14790,A8-2,06/25/2025
MI-651,RM-37,18391,A8-24,06/14/2026
MI-652,RM-32,35795,A6-7,2026-05-20
MI-653,RM-29,2542,A5-27,24-08-2025
MI-654,RM-78,22488,A4-23,2025-12-10
MI-655,RM-37,6721,A9-15,2025-01-01
MI-656,RM-16,36371,A4-4,2025-07-16
MI-657,RM-118,41958,A3-6,2026-05-12
MI-658,RM-74,32849,A5-11,04/17/2025
MI-659,RM-120,17206,A9-25,27-11-2025
MI-660,RM-98,25573,A6-6,2026-02-28
MI-661,RM-68,31238,A9-7,02-03-2025
MI-662,RM-118,21972,A9-24,10/08/2025
MI-663,RM-99,34082,A3-4,01/07/2025
MI-664,RM-67,47055,A4-9,2026-02-25
MI-665,RM-83,46649,A2-23,12/25/2026
MI-666,RM-51,39822,A2-16,2025-03-24
MI-667,RM-34,29561,A2-2,16-08-2026
MI-668,RM-68,8204,A6-14,08/27/2026
MI-669,RM-73,48513,A1-27,07/01/2026
MI-670,RM-101,19591,A5-1,07/09/2025
MI-671,RM-52,15072,A9-22,2026-09-27
MI-672,RM-10,45175,A4-15,2025-08-15
MI-673,RM-54,11970,A7-22,2025-10-05
MI-674,RM-54,11469,A4-28,03-12-2025
MI-675,RM-6,38844,A9-27,2026-11-03
MI-676,RM-48,17612,A1-6,2025-08-09
MI-677,RM-31,22598,A2-25,06/21/2025
MI-678,RM-22,20400,A9-23,08/05/2026
MI-679,RM-70,18853,A9-29,2026-01-19
MI-680,RM-47,41053,A2-27,2025-03-14
MI-681,RM-12,48957,A8-8,09/13/2026
MI-682,RM-60,4072,A2-18,2025-06-14
MI-683,RM-99,28486,A5-24,12/02/2026
MI-684,RM-96,2455,A8-11,12/06/2025
MI-685,RM-92,14619,A8-29,2026-09-19
MI-686,RM-59,16641,A1-13,2025-11-18
MI-687,RM-95,30039,A9-7,12/15/2026
MI-688,RM-82,23262,A7-17,2025-09-21
MI-689,RM-58,8013,A4-25,2025-01-09
MI-690,RM-1,38010,A7-6,2026-06-16
MI-691,RM-97,16879,A5-1,07-04-2025
MI-692,RM-35,46308,A4-17,07/22/2026
MI-693,RM-19,12101,A4-16,11-10-2025
MI-694,RM-94,8723,A1-24,11/19/2025
MI-695,RM-102,41888,A1-10,05/15/2026
MI-696,RM-29,47538,A6-7,08-04-2026
MI-697,RM-68,1029,A5-19,07/08/2025
MI-698,RM-84,37686,A8-27,2026-09-09
MI-699,RM-95,40449,A3-1,2026-06-05
MI-700,RM-7,4163,A8-26,19-03-2025
MI-701,RM-44,427,A7-12,24-05-2026
MI-702,RM-120,40816,A5-17,01/05/2025
MI-703,RM-95,9157,A4-13,2025-04-28
MI-704,RM-23,15475,A2-19,08/10/2025
MI-705,RM-107,32833,A2-29,2026-05-02
MI-706,RM-17,24143,A6-20,2025-07-26
MI-707,RM-87,28177,A6-19,2025-05-09
MI-708,RM-34,33167,A9-19,07/19/2026
MI-709,RM-42,7387,A2-17,2025-08-23
MI-710,RM-113,44947,A5-13,2026-03-21
MI-711,RM-81,35162,A2-21,2026-09-21
MI-712,RM-59,33420,A7-23,2026-07-22
MI-713,RM-23,47812,A2-24,01-07-2026
MI-714,RM-9,14662,A9-2,12/14/2026
MI-715,RM-7,26466,A7-1,05/12/2026
MI-716,RM-13,7958,A2-23,2025-09-10
MI-717,RM-22,24864,A1-1,03/22/2026
MI-718,RM-24,5489,A4-10,23-12-2025
MI-719,RM-94,26419,A3-12,07/27/2026
MI-720,RM-13,35773,A4-21,2026-05-12
MI-721,RM-38,4892,A7-2,21-01-2025
MI-722,RM-29,15938,A3-10,04/18/2025
MI-723,RM-17,16265,A9-10,2025-12-10
MI-724,RM-31,22905,A4-13,2026-01-28
MI-725,RM-61,17669,A5-29,10/26/2026
MI-726,RM-113,35389,A3-18,2025-08-24
MI-727,RM-36,14879,A8-23,2025-12-28
MI-728,RM-106,46003,A5-28,07-09-2026
MI-729,RM-1,34528,A3-15,2025-11-25
MI-730,RM-94,7289,A9-9,09/07/2026
MI-731,RM-39,44981,A6-27,19-11-2026
MI-732,RM-79,5955,A6-16,2025-08-23
MI-733,RM-39,28666,A5-20,27-12-2025
MI-734,RM-49,22487,A6-11,21-08-2026
MI-735,RM-118,12704,A2-23,09/11/2025
MI-736,RM-85,8410,A9-19,2026-03-21
MI-737,RM-108,45008,A8-15,03/27/2025
MI-738,RM-88,37723,A5-30,04/28/2026
MI-739,RM-20,11988,A3-22,2026-02-03
MI-740,RM-39,27211,A4-14,11/12/2025
MI-741,RM-60,14070,A2-24,2026-06-26
MI-742,RM-92,17675,A1-16,01/08/2026
MI-743,RM-11,2601,A1-4,2025-09-18
MI-744,RM-5,11282,A9-13,2026-03-01
MI-745,RM-9,14399,A5-4,20-09-2026
MI-746,RM-69,15350,A4-18,2026-04-07
MI-747,RM-47,17714,A7-2,13-03-2025
MI-748,RM-31,47896,A6-16,03/04/2026
MI-749,RM-116,40326,A5-22,2026-07-24
MI-750,RM-31,18347,A6-28,02/08/2026
MI-751,RM-105,20373,A2-17,26-03-2026
MI-752,RM-38,1337,A5-10,02-05-2026
MI-753,RM-15,386,A4-9,2025-07-22
MI-754,RM-9,12471,A6-17,2025-06-24
MI-755,RM-2,49403,A1-3,08-03-2025
MI-756,RM-74,4807,A9-10,17-02-2025
MI-757,RM-78,8528,A6-17,03/23/2026
MI-758,RM-112,31795,A1-20,2025-04-26
MI-759,RM-102,38988,A5-28,2026-09-16
MI-760,RM-28,35237,A2-22,2026-09-22
MI-761,RM-57,19287,A3-10,2026-10-25
MI-762,RM-108,4368,A2-27,04/20/2025
MI-763,RM-36,772,A2-16,2025-10-20
MI-764,RM-19,41596,A5-27,2025-11-17
MI-765,RM-59,21618,A6-24,05/23/2026
MI-766,RM-20,36839,A4-28,2025-11-05
MI-767,RM-29,10717,A5-28,09/17/2025
MI-768,RM-88,10663,A4-4,03/02/2026
MI-769,RM-29,42226,A5-13,08/05/2025
MI-770,RM-49,703,A9-17,2025-06-03
MI-771,RM-88,40885,A2-12,04/10/2026
MI-772,RM-23,47028,A1-11,12-08-2026
MI-773,RM-119,7325,A6-25,2025-11-21
MI-774,RM-38,49253,A8-27,08-02-2025
MI-775,RM-89,28926,A3-4,04/24/2025
MI-776,RM-45,10013,A3-11,2025-07-21
MI-777,RM-1,45945,A3-30,2026-10-14
MI-778,RM-74,22643,A1-25,2026-06-21
MI-779,RM-77,34600,A2-14,2026-05-04
MI-780,RM-27,17350,A9-27,2025-03-19
MI-781,RM-94,47237,A1-4,22-11-2025
MI-782,RM-65,38268,A1-25,10/06/2025
MI-783,RM-28,41681,A7-28,2026-12-18
MI-784,RM-12,47713,A4-4,2026-12-07
MI-785,RM-41,28606,A4-20,2026-02-09
MI-786,RM-72,37474,A7-11,2026-07-10
MI-787,RM-31,28255,A4-29,06/15/2026
MI-788,RM-96,24911,A2-13,06/08/2025
MI-789,RM-18,30317,A9-23,2026-09-12
MI-790,RM-46,17314,A6-23,22-04-2026
MI-791,RM-79,9578,A5-4,12-09-2026
MI-792,RM-77,23191,A3-29,07/22/2026
MI-793,RM-59,40867,A2-18,16-11-2025
MI-794,RM-71,4240,A3-13,2025-11-01
MI-795,RM-113,24303,A2-8,2025-02-25
MI-796,RM-72,23610,A6-2,04/12/2026
MI-797,RM-14,37592,A1-18,05/07/2026
MI-798,RM-117,30181,A5-27,04-01-2025
MI-799,RM-102,39169,A8-15,2025-03-21
MI-800,RM-95,35416,A3-19,2025-02-24
