purchase_item_id,purchase_id,product_id,quantity,unit_cost
PI-1504,PC-1201,SKU1617,1461,247
PI-1505,PC-440,MD-1043,180,"2 039,00"
PI-1506,PC-629,REF-1331,1508,267
PI-1507,PC-556,R-1090,1147,"$1,217.00"
PI-1508,PC-1307,R-1573,336,"822,00"
PI-1509,PC-6,R-1077,1438,"$2,509.00"
PI-1510,PC-360,SKU1762,351,"386,00"
PI-1511,PC-884,MD-1006,812,$158.00
PI-1512,PC-1485,REF-1407,383,2 411
PI-1513,PC-37,SKU1676,1817,2491
PI-1514,PC-1106,SKU1242,828,2501
PI-1515,PC-1486,R-1233,366,1959
PI-1516,PC-782,SKU1397,1262,"357,00"
PI-1517,PC-97,R-1584,1155,"$1,780.00"
PI-1518,PC-1233,R-1630,783,482
PI-1519,PC-999,MD-1625,1389,2751
PI-1520,PC-529,MD-1702,1734,633
PI-1521,PC-999,REF-1074,465,1387
PI-1522,PC-134,MD-1522,583,2 959
PI-1523,PC-1297,SKU1118,1261,$678.00
PI-1524,PC-191,MD-1502,1366,1928
PI-1525,PC-1069,SKU1766,655,1029
PI-1526,PC-259,REF-1331,881,"$2,827.00"
PI-1527,PC-1434,REF-1219,670,883
PI-1528,PC-1357,REF-1511,789,2998
PI-1529,PC-1171,SKU1454,500,"$2,431.00"
PI-1530,PC-1217,SKU1527,1988,"$2,361.00"
PI-1531,PC-1444,SKU1623,189,"$1,013.00"
PI-1532,PC-632,SKU1675,1642,128
PI-1533,PC-656,SKU1575,797,2015
PI-1534,PC-742,SKU1114,1159,1966
PI-1535,PC-1003,MD-1558,1529,84
PI-1536,PC-1261,REF-1244,1144,965
PI-1537,PC-987,SKU1673,1670,"$2,112.00"
PI-1538,PC-1292,SKU1343,267,"$2,321.00"
PI-1539,PC-1419,R-1119,363,448
PI-1540,PC-507,R-1301,979,580
PI-1541,PC-219,R-1295,1299,867
PI-1542,PC-310,REF-1661,504,412
PI-1543,PC-542,MD-1458,1829,"$2,741.00"
PI-1544,PC-802,SKU1346,473,2936
PI-1545,PC-166,SKU1118,562,512
PI-1546,PC-427,REF-1359,421,2513
PI-1547,PC-622,REF-1654,675,2057
PI-1548,PC-627,R-1267,213,"1 344,00"
PI-1549,PC-1445,SKU1036,1409,2914
PI-1550,PC-100,MD-1270,1932,1 372
PI-1551,PC-805,MD-1291,399,967
PI-1552,PC-127,R-1301,66,405
PI-1553,PC-1144,SKU1480,153,1891
PI-1554,PC-1257,R-1435,174,"$2,555.00"
PI-1555,PC-285,SKU1152,1053,"$1,844.00"
PI-1556,PC-94,REF-1135,1887,$624.00
PI-1557,PC-188,REF-1507,400,215
PI-1558,PC-1323,MD-1086,1545,$620.00
PI-1559,PC-1364,SKU1673,1253,2515
PI-1560,PC-701,SKU1343,762,1282
PI-1561,PC-946,R-1025,1535,1258
PI-1562,PC-974,R-1441,421,626
PI-1563,PC-825,REF-1510,491,1203
PI-1564,PC-1471,MD-1411,1261,$989.00
PI-1565,PC-1293,SKU1704,1897,"$2,678.00"
PI-1566,PC-27,SKU1575,712,1208
PI-1567,PC-1402,REF-1226,1150,1798
PI-1568,PC-158,SKU1002,979,1660
PI-1569,PC-203,MD-1636,1508,1298
PI-1570,PC-1320,REF-1781,1311,"$1,241.00"
PI-1571,PC-1245,REF-1626,630,304
PI-1572,PC-1068,REF-1103,1928,"$2,117.00"
PI-1573,PC-800,SKU1280,1202,"$2,434.00"
PI-1574,PC-1293,R-1690,545,2530
PI-1575,PC-1059,R-1674,372,1540
PI-1576,PC-743,MD-1561,970,1463
PI-1577,PC-37,SKU1451,839,1849
PI-1578,PC-356,REF-1286,1012,"$1,833.00"
PI-1579,PC-32,SKU1704,645,"$2,784.00"
PI-1580,PC-32,REF-1081,88,1356
PI-1581,PC-786,REF-1734,736,"1 665,00"
PI-1582,PC-432,MD-1143,92,1585
PI-1583,PC-19,SKU1060,1180,373
PI-1584,PC-780,R-1544,838,240
PI-1585,PC-1060,SKU1100,958,1473
PI-1586,PC-556,SKU1773,469,$290.00
PI-1587,PC-1018,R-1182,1438,2253
PI-1588,PC-710,REF-1654,37,185
PI-1589,PC-733,REF-1685,1944,2544
PI-1590,PC-776,SKU1060,886,1857
PI-1591,PC-674,MD-1041,1426,$733.00
PI-1592,PC-1447,MD-1428,500,"$2,619.00"
PI-1593,PC-1062,MD-1299,1824,628
PI-1594,PC-1395,SKU1640,659,"$1,752.00"
PI-1595,PC-924,R-1602,1452,1380
PI-1596,PC-716,REF-1211,367,609
PI-1597,PC-1014,REF-1012,943,"$2,043.00"
PI-1598,PC-721,MD-1143,1525,"1 585,00"
PI-1599,PC-229,REF-1604,1243,916
PI-1600,PC-740,SKU1177,1834,2950
PI-1601,PC-176,REF-1672,295,489
PI-1602,PC-1467,R-1175,1642,$313.00
PI-1603,PC-636,MD-1023,615,"$1,798.00"
PI-1604,PC-737,MD-1754,1768,491
PI-1605,PC-809,SKU1342,1318,365
PI-1606,PC-332,SKU1758,1324,"$2,312.00"
PI-1607,PC-879,REF-1393,668,$452.00
PI-1608,PC-1403,MD-1165,89,1588
PI-1609,PC-128,SKU1406,1673,958
PI-1610,PC-1445,REF-1176,1453,247
PI-1611,PC-714,R-1158,1231,2405
PI-1612,PC-1226,REF-1511,1961,1074
PI-1613,PC-317,MD-1167,662,1543
PI-1614,PC-711,SKU1451,1416,231
PI-1615,PC-149,MD-1033,241,1077
PI-1616,PC-1188,REF-1116,1803,251
PI-1617,PC-468,SKU1423,376,1953
PI-1618,PC-523,REF-1155,90,483
PI-1619,PC-501,MD-1436,190,1401
PI-1620,PC-1055,SKU1610,455,1790
PI-1621,PC-11,SKU1764,1511,1602
PI-1622,PC-208,REF-1126,1647,949
PI-1623,PC-872,R-1035,435,"$1,797.00"
PI-1624,PC-692,MD-1097,224,625
PI-1625,PC-1465,MD-1417,498,1237
PI-1626,PC-712,R-1674,400,526
PI-1627,PC-34,REF-1099,550,79
PI-1628,PC-470,MD-1205,815,"1 684,00"
PI-1629,PC-1440,MD-1366,1556,1454
PI-1630,PC-1144,SKU1260,1735,2694
PI-1631,PC-1205,R-1648,547,"$2,982.00"
PI-1632,PC-695,REF-1037,467,"961,00"
PI-1633,PC-901,R-1475,1644,"$2,869.00"
PI-1634,PC-262,R-1573,1839,316
PI-1635,PC-462,MD-1627,824,411
PI-1636,PC-1376,R-1730,357,"1 779,00"
PI-1637,PC-801,SKU1722,142,"$1,378.00"
PI-1638,PC-946,R-1317,763,1998
PI-1639,PC-470,MD-1726,116,1182
PI-1640,PC-133,REF-1457,294,"$1,856.00"
PI-1641,PC-234,MD-1380,264,"1 573,00"
PI-1642,PC-206,R-1132,93,1895
PI-1643,PC-1440,R-1000,1997,1119
PI-1644,PC-224,MD-1091,1819,"2 095,00"
PI-1645,PC-364,SKU1024,151,"$2,314.00"
PI-1646,PC-657,REF-1116,1079,"$1,871.00"
PI-1647,PC-1124,R-1752,1934,659
PI-1648,PC-362,SKU1601,261,"2 556,00"
PI-1649,PC-717,REF-1138,785,"1 813,00"
PI-1650,PC-493,MD-1374,448,"$1,536.00"
PI-1651,PC-382,MD-1023,191,617
PI-1652,PC-455,MD-1404,192,2 093
PI-1653,PC-362,MD-1501,1400,1 105
PI-1654,PC-1195,MD-1224,1869,2 857
PI-1655,PC-447,REF-1391,1677,"$2,014.00"
PI-1656,PC-703,REF-1515,231,1746
PI-1657,PC-833,REF-1714,260,1753
PI-1658,PC-476,MD-1579,1181,1845
PI-1659,PC-1402,REF-1345,1654,692
PI-1660,PC-14,MD-1235,938,1372
PI-1661,PC-329,REF-1629,1152,"$1,017.00"
PI-1662,PC-1416,MD-1299,850,"$2,841.00"
PI-1663,PC-591,SKU1396,886,$775.00
PI-1664,PC-709,MD-1369,240,2006
PI-1665,PC-1328,MD-1516,1475,1249
PI-1666,PC-1304,SKU1118,1358,"$1,579.00"
PI-1667,PC-934,SKU1031,667,1304
PI-1668,PC-679,SKU1056,1554,"$2,072.00"
PI-1669,PC-525,REF-1008,1480,"1 496,00"
PI-1670,PC-721,REF-1560,900,"$1,563.00"
PI-1671,PC-412,SKU1324,1340,2710
PI-1672,PC-1417,SKU1455,437,"$2,290.00"
PI-1673,PC-493,R-1533,970,1806
PI-1674,PC-1314,R-1577,1506,421
PI-1675,PC-30,SKU1658,313,"$2,305.00"
PI-1676,PC-627,REF-1655,1261,"1 852,00"
PI-1677,PC-691,R-1586,1139,906
PI-1678,PC-1179,REF-1478,1578,"840,00"
PI-1679,PC-1240,REF-1005,1926,"2 729,00"
PI-1680,PC-1119,SKU1260,142,"$1,016.00"
PI-1681,PC-348,R-1512,1019,1751
PI-1682,PC-676,R-1678,1257,1786
PI-1683,PC-1122,R-1787,1993,"$1,563.00"
PI-1684,PC-1347,REF-1540,73,2163
PI-1685,PC-1027,SKU1251,198,2287
PI-1686,PC-360,REF-1566,1536,2747
PI-1687,PC-982,REF-1195,76,$605.00
PI-1688,PC-1002,MD-1421,1693,"580,00"
PI-1689,PC-861,SKU1547,1041,"2 542,00"
PI-1690,PC-739,REF-1071,1837,1456
PI-1691,PC-33,R-1618,1427,"$1,459.00"
PI-1692,PC-1226,MD-1303,717,"$1,729.00"
PI-1693,PC-1299,MD-1549,1082,$617.00
PI-1694,PC-740,R-1383,1071,1345
PI-1695,PC-1263,REF-1195,1194,2 524
PI-1696,PC-370,SKU1490,790,"$1,085.00"
PI-1697,PC-28,REF-1285,722,849
PI-1698,PC-378,R-1419,395,1746
PI-1699,PC-820,MD-1716,1187,996
PI-1700,PC-334,MD-1782,546,1 084
PI-1701,PC-863,REF-1176,272,"$1,934.00"
PI-1702,PC-1008,REF-1373,622,2217
PI-1703,PC-725,REF-1372,1434,643
PI-1704,PC-1134,REF-1672,817,"2 692,00"
PI-1705,PC-311,MD-1113,1159,536
PI-1706,PC-735,SKU1201,1923,"$2,839.00"
PI-1707,PC-916,SKU1271,1962,1158
PI-1708,PC-1005,REF-1322,172,"$1,122.00"
PI-1709,PC-507,REF-1694,1584,"$2,489.00"
PI-1710,PC-1213,REF-1609,673,$11.00
PI-1711,PC-613,MD-1210,1856,$558.00
PI-1712,PC-337,R-1104,1894,2 098
PI-1713,PC-397,REF-1363,1686,2 500
PI-1714,PC-645,SKU1599,137,"$1,269.00"
PI-1715,PC-605,R-1602,1850,"$2,827.00"
PI-1716,PC-711,REF-1009,284,1061
PI-1717,PC-1491,SKU1767,952,$309.00
PI-1718,PC-654,SKU1134,828,$416.00
PI-1719,PC-1444,REF-1795,994,2337
PI-1720,PC-116,MD-1202,882,1258
PI-1721,PC-1067,REF-1359,162,2342
PI-1722,PC-504,MD-1339,1961,888
PI-1723,PC-955,MD-1553,828,1610
PI-1724,PC-712,R-1796,1161,"1 007,00"
PI-1725,PC-420,SKU1396,58,"1 796,00"
PI-1726,PC-1244,R-1533,1766,"2 120,00"
PI-1727,PC-573,R-1446,38,131
PI-1728,PC-606,MD-1062,823,1117
PI-1729,PC-144,R-1592,722,500
PI-1730,PC-1160,MD-1558,1702,"2 920,00"
PI-1731,PC-460,R-1301,676,233
PI-1732,PC-1396,REF-1057,1463,1224
PI-1733,PC-54,MD-1417,1524,$818.00
PI-1734,PC-545,R-1228,1844,2727
PI-1735,PC-1072,R-1588,642,$893.00
PI-1736,PC-722,R-1759,881,1819
PI-1737,PC-194,SKU1253,691,$540.00
PI-1738,PC-246,SKU1649,148,2119
PI-1739,PC-366,REF-1141,665,1406
PI-1740,PC-1116,MD-1291,1135,192
PI-1741,PC-1498,MD-1707,958,1250
PI-1742,PC-916,MD-1061,506,155
PI-1743,PC-1458,MD-1726,1722,"2 505,00"
PI-1744,PC-619,R-1112,1803,"$2,184.00"
PI-1745,PC-860,R-1377,724,1562
PI-1746,PC-1054,SKU1327,653,105
PI-1747,PC-1276,SKU1527,326,$792.00
PI-1748,PC-551,SKU1367,684,1836
PI-1749,PC-128,REF-1037,1530,2680
PI-1750,PC-778,REF-1738,355,"$2,067.00"
PI-1751,PC-1297,MD-1225,386,994
PI-1752,PC-1256,SKU1384,1892,915
PI-1753,PC-21,R-1592,299,1 030
PI-1754,PC-211,R-1499,1485,"$2,210.00"
PI-1755,PC-522,SKU1677,1855,51
PI-1756,PC-725,SKU1599,1682,400
PI-1757,PC-558,MD-1479,563,"$1,069.00"
PI-1758,PC-320,MD-1707,503,700
PI-1759,PC-860,SKU1762,992,630
PI-1760,PC-1479,SKU1470,659,2925
PI-1761,PC-49,R-1618,1753,$733.00
PI-1762,PC-906,REF-1287,737,499
PI-1763,PC-575,MD-1143,1970,"507,00"
PI-1764,PC-925,SKU1454,603,2686
PI-1765,PC-618,REF-1529,1052,2680
PI-1766,PC-1482,MD-1643,616,522
PI-1767,PC-976,R-1648,189,2442
PI-1768,PC-486,SKU1201,1546,1406
PI-1769,PC-300,SKU1302,709,596
PI-1770,PC-726,R-1587,639,"$2,476.00"
PI-1771,PC-1154,MD-1689,884,2814
PI-1772,PC-424,R-1565,1556,1 877
PI-1773,PC-769,SKU1254,532,"$1,276.00"
PI-1774,PC-1036,SKU1060,184,161
PI-1775,PC-1232,REF-1323,708,1 589
PI-1776,PC-1007,MD-1683,547,"1 788,00"
PI-1777,PC-1473,MD-1524,727,117
PI-1778,PC-816,SKU1620,1046,"429,00"
PI-1779,PC-1229,REF-1096,372,$768.00
PI-1780,PC-1205,R-1233,464,2030
PI-1781,PC-278,SKU1020,1345,2 334
PI-1782,PC-95,SKU1575,625,1938
PI-1783,PC-804,R-1568,671,$563.00
PI-1784,PC-576,R-1334,768,888
PI-1785,PC-1247,R-1015,1690,1022
PI-1786,PC-62,R-1295,768,$634.00
PI-1787,PC-40,MD-1210,187,1 308
PI-1788,PC-253,SKU1668,2000,$715.00
PI-1789,PC-585,R-1430,16,"2 102,00"
PI-1790,PC-781,R-1523,567,"$1,230.00"
PI-1791,PC-602,R-1443,819,1276
PI-1792,PC-1396,REF-1765,162,1 296
PI-1793,PC-87,SKU1241,1444,$487.00
PI-1794,PC-632,SKU1357,891,2 625
PI-1795,PC-1115,R-1760,611,331
PI-1796,PC-674,REF-1775,1609,"$1,641.00"
PI-1797,PC-255,MD-1379,240,899
PI-1798,PC-916,R-1577,1151,2594
PI-1799,PC-1017,MD-1427,1721,"2 132,00"
PI-1800,PC-655,SKU1115,934,"487,00"
PI-1801,PC-170,R-1334,1409,"$2,000.00"
PI-1802,PC-993,SKU1794,1236,1429
PI-1803,PC-39,REF-1450,727,$460.00
PI-1804,PC-419,MD-1098,760,2 102
PI-1805,PC-557,REF-1126,416,$797.00
PI-1806,PC-697,REF-1244,1430,889
PI-1807,PC-1107,SKU1764,1921,1156
PI-1808,PC-748,MD-1004,1388,1960
PI-1809,PC-1156,SKU1357,1377,2 534
PI-1810,PC-367,R-1175,764,2491
PI-1811,PC-226,SKU1477,1111,"2 379,00"
PI-1812,PC-1211,MD-1196,674,2206
PI-1813,PC-1108,SKU1172,1813,2006
PI-1814,PC-1469,REF-1219,1273,2363
PI-1815,PC-178,R-1047,316,2621
PI-1816,PC-1082,REF-1537,13,2176
PI-1817,PC-1435,REF-1286,1563,1 347
PI-1818,PC-294,REF-1325,177,2009
PI-1819,PC-573,MD-1628,1125,2017
PI-1820,PC-816,R-1233,382,2564
PI-1821,PC-637,SKU1477,313,1 429
PI-1822,PC-568,REF-1264,1097,"766,00"
PI-1823,PC-1107,R-1082,1912,"601,00"
PI-1824,PC-1039,SKU1148,1964,"2 867,00"
PI-1825,PC-700,REF-1685,1699,"54,00"
PI-1826,PC-676,MD-1681,1455,"861,00"
PI-1827,PC-946,SKU1139,1186,1625
PI-1828,PC-1266,REF-1401,899,435
PI-1829,PC-1075,R-1468,926,1792
PI-1830,PC-436,R-1239,1114,1855
PI-1831,PC-1498,REF-1008,937,646
PI-1832,PC-1249,SKU1326,739,1493
PI-1833,PC-1137,MD-1549,231,"$2,660.00"
PI-1834,PC-1213,SKU1413,261,2868
PI-1835,PC-1390,SKU1046,852,1150
PI-1836,PC-244,REF-1373,1967,"$2,040.00"
PI-1837,PC-338,SKU1527,1441,2 775
PI-1838,PC-187,R-1233,541,2258
PI-1839,PC-1083,R-1252,701,$642.00
PI-1840,PC-776,SKU1059,593,88
PI-1841,PC-1059,REF-1530,1948,301
PI-1842,PC-1145,REF-1694,653,931
PI-1843,PC-317,MD-1131,200,"2 865,00"
PI-1844,PC-563,MD-1542,196,121
PI-1845,PC-509,SKU1066,843,"$1,989.00"
PI-1846,PC-4,MD-1387,1445,$648.00
PI-1847,PC-1006,SKU1310,1270,2428
PI-1848,PC-863,REF-1103,1893,2722
PI-1849,PC-189,R-1577,1048,"$1,640.00"
PI-1850,PC-442,R-1229,138,850
PI-1851,PC-1097,R-1495,895,"$2,418.00"
PI-1852,PC-134,MD-1528,1402,2793
PI-1853,PC-563,R-1637,13,839
PI-1854,PC-583,R-1236,585,"$1,494.00"
PI-1855,PC-206,R-1355,1365,2148
PI-1856,PC-908,R-1320,499,"1 988,00"
PI-1857,PC-1333,REF-1510,1002,2055
PI-1858,PC-592,SKU1768,1966,"$2,353.00"
PI-1859,PC-757,R-1435,288,86
PI-1860,PC-341,SKU1198,1136,"2 820,00"
PI-1861,PC-809,SKU1623,1233,1633
PI-1862,PC-597,MD-1528,1117,2 138
PI-1863,PC-1463,SKU1115,827,"$1,377.00"
PI-1864,PC-88,REF-1530,349,924
PI-1865,PC-503,R-1296,980,"$1,657.00"
PI-1866,PC-388,REF-1316,845,2 653
PI-1867,PC-578,R-1229,541,2420
PI-1868,PC-1325,SKU1582,782,"2 415,00"
PI-1869,PC-1426,MD-1542,1787,2062
PI-1870,PC-166,MD-1421,743,"1 642,00"
PI-1871,PC-524,MD-1686,1183,1849
PI-1872,PC-1493,REF-1074,1341,"$1,755.00"
PI-1873,PC-1227,REF-1552,784,2580
PI-1874,PC-1349,MD-1052,1333,"2 594,00"
PI-1875,PC-92,R-1771,103,2942
PI-1876,PC-650,REF-1604,1536,$617.00
PI-1877,PC-6,MD-1549,215,1 799
PI-1878,PC-974,R-1293,1875,"2 682,00"
PI-1879,PC-1159,REF-1256,395,189
PI-1880,PC-1405,MD-1284,1862,29
PI-1881,PC-1324,SKU1610,1636,452
PI-1882,PC-314,REF-1325,751,1787
PI-1883,PC-483,SKU1324,1811,$391.00
PI-1884,PC-364,MD-1022,172,99
PI-1885,PC-727,MD-1086,1904,1771
PI-1886,PC-742,R-1646,108,681
PI-1887,PC-255,REF-1604,356,"$1,042.00"
PI-1888,PC-289,REF-1373,1246,"$2,387.00"
PI-1889,PC-1303,MD-1467,338,"783,00"
PI-1890,PC-1451,SKU1357,665,"$1,747.00"
PI-1891,PC-659,REF-1294,218,"2 463,00"
PI-1892,PC-803,R-1236,908,1783
PI-1893,PC-898,R-1796,1436,"$2,885.00"
PI-1894,PC-1193,SKU1623,150,2934
PI-1895,PC-328,MD-1627,759,132
PI-1896,PC-885,MD-1615,1285,"$2,983.00"
PI-1897,PC-746,MD-1306,1024,"1 862,00"
PI-1898,PC-148,MD-1230,1954,1303
PI-1899,PC-1451,R-1419,1648,$845.00
PI-1900,PC-944,SKU1474,86,2835
PI-1901,PC-540,R-1025,1539,1313
PI-1902,PC-158,MD-1375,839,529
PI-1903,PC-1058,R-1460,253,2216
PI-1904,PC-1408,SKU1342,1431,"2 717,00"
PI-1905,PC-1021,REF-1226,1691,"$2,478.00"
PI-1906,PC-1169,R-1632,1025,$579.00
PI-1907,PC-614,REF-1780,87,1 128
PI-1908,PC-195,MD-1235,1974,"$1,518.00"
PI-1909,PC-777,MD-1613,713,2 534
PI-1910,PC-293,R-1632,468,"$2,554.00"
PI-1911,PC-983,R-1348,827,1265
PI-1912,PC-716,REF-1226,1890,"$1,252.00"
PI-1913,PC-673,REF-1162,700,"$1,748.00"
PI-1914,PC-918,R-1296,1032,1197
PI-1915,PC-591,MD-1517,29,2 356
PI-1916,PC-720,SKU1376,650,2524
PI-1917,PC-1387,REF-1116,1346,$717.00
PI-1918,PC-225,R-1645,994,272
PI-1919,PC-140,MD-1043,716,2076
PI-1920,PC-853,R-1708,1748,2847
PI-1921,PC-1421,MD-1410,65,"$2,252.00"
PI-1922,PC-1314,MD-1561,1320,590
PI-1923,PC-965,R-1267,539,40
PI-1924,PC-1287,MD-1282,810,1152
PI-1925,PC-267,REF-1546,551,"$2,848.00"
PI-1926,PC-629,SKU1040,324,2822
PI-1927,PC-107,MD-1482,1373,$563.00
PI-1928,PC-866,SKU1589,395,"2 388,00"
PI-1929,PC-1152,REF-1363,1701,2967
PI-1930,PC-1368,R-1117,344,887
PI-1931,PC-1132,MD-1421,1064,220
PI-1932,PC-1064,R-1577,1156,"$2,617.00"
PI-1933,PC-796,R-1678,614,815
PI-1934,PC-1244,SKU1451,1713,1744
PI-1935,PC-440,REF-1745,167,905
PI-1936,PC-243,SKU1580,897,2 994
PI-1937,PC-131,SKU1397,1771,"$1,081.00"
PI-1938,PC-653,R-1503,1494,1622
PI-1939,PC-1068,REF-1714,1031,1078
PI-1940,PC-64,MD-1147,794,2727
PI-1941,PC-1205,MD-1553,38,713
PI-1942,PC-1319,REF-1552,71,"$2,966.00"
PI-1943,PC-130,SKU1416,1966,"$2,363.00"
PI-1944,PC-1139,R-1187,741,1 113
PI-1945,PC-212,R-1203,355,"$2,536.00"
PI-1946,PC-1184,SKU1198,523,$312.00
PI-1947,PC-147,R-1349,967,"$2,136.00"
PI-1948,PC-824,MD-1746,1823,1798
PI-1949,PC-546,MD-1729,1645,1854
PI-1950,PC-797,R-1034,513,"2 788,00"
PI-1951,PC-1088,REF-1439,1035,"$2,896.00"
PI-1952,PC-844,R-1296,918,2 343
PI-1953,PC-723,SKU1794,1238,"1 433,00"
PI-1954,PC-75,R-1077,873,2499
PI-1955,PC-1461,SKU1183,212,2553
PI-1956,PC-538,REF-1057,1748,"1 580,00"
PI-1957,PC-797,REF-1609,993,1256
PI-1958,PC-247,SKU1153,888,$785.00
PI-1959,PC-274,REF-1099,1143,"376,00"
PI-1960,PC-704,REF-1266,260,"$1,869.00"
PI-1961,PC-13,MD-1496,657,$428.00
PI-1962,PC-1448,REF-1391,1745,1113
PI-1963,PC-1236,REF-1378,694,"$1,024.00"
PI-1964,PC-669,SKU1356,1580,"$1,842.00"
PI-1965,PC-62,REF-1747,1679,1032
PI-1966,PC-1421,MD-1197,677,1713
PI-1967,PC-194,R-1408,883,"2 797,00"
PI-1968,PC-592,R-1039,1043,2674
PI-1969,PC-1479,MD-1049,1683,"90,00"
PI-1970,PC-666,MD-1548,965,$113.00
PI-1971,PC-1059,MD-1732,388,149
PI-1972,PC-97,MD-1282,1026,"$2,094.00"
PI-1973,PC-1130,SKU1192,1862,1075
PI-1974,PC-1308,R-1690,742,2113
PI-1975,PC-1278,REF-1650,438,"$2,110.00"
PI-1976,PC-738,SKU1321,410,"$1,417.00"
PI-1977,PC-952,SKU1474,1939,996
PI-1978,PC-1235,MD-1579,1962,2811
PI-1979,PC-721,R-1039,807,"$2,915.00"
PI-1980,PC-1142,REF-1373,199,790
PI-1981,PC-179,SKU1144,1556,"$2,249.00"
PI-1982,PC-844,SKU1778,1980,2170
PI-1983,PC-124,REF-1137,536,1644
PI-1984,PC-371,R-1259,825,"$2,661.00"
PI-1985,PC-25,MD-1613,1690,"$2,518.00"
PI-1986,PC-378,MD-1304,855,134
PI-1987,PC-138,R-1614,770,"2 574,00"
PI-1988,PC-457,MD-1174,1418,2 353
PI-1989,PC-339,SKU1245,1492,$198.00
PI-1990,PC-798,MD-1392,1940,478
PI-1991,PC-1013,SKU1594,1729,212
PI-1992,PC-162,SKU1569,1790,$668.00
PI-1993,PC-829,SKU1610,814,"$2,379.00"
PI-1994,PC-444,MD-1464,1594,910
PI-1995,PC-40,SKU1172,1857,1693
PI-1996,PC-911,SKU1451,1446,1 199
PI-1997,PC-383,REF-1226,1733,773
PI-1998,PC-63,REF-1769,428,715
PI-1999,PC-60,R-1446,338,"2 970,00"
PI-2000,PC-1348,MD-1526,1953,"2 667,00"
PI-2001,PC-865,R-1109,432,2027
PI-2002,PC-1364,MD-1596,441,1319
PI-2003,PC-1473,MD-1387,701,108
PI-2004,PC-1327,SKU1118,1874,$377.00
PI-2005,PC-969,MD-1339,1081,1752
PI-2006,PC-1362,REF-1393,23,1036
PI-2007,PC-559,SKU1152,117,2 391
PI-2008,PC-1410,SKU1764,832,1674
PI-2009,PC-343,SKU1462,1191,1501
PI-2010,PC-609,R-1334,1736,1678
PI-2011,PC-1222,R-1117,863,"2 016,00"
PI-2012,PC-1143,R-1721,1091,"458,00"
PI-2013,PC-1380,SKU1486,1910,2615
PI-2014,PC-1275,REF-1777,1838,214
PI-2015,PC-374,R-1771,1440,2714
PI-2016,PC-1486,REF-1529,464,2551
PI-2017,PC-873,SKU1571,1547,842
PI-2018,PC-1017,R-1164,326,"$1,069.00"
PI-2019,PC-1090,SKU1763,967,398
PI-2020,PC-14,SKU1153,1170,"$1,124.00"
PI-2021,PC-703,SKU1044,750,1845
PI-2022,PC-1302,REF-1661,425,"$2,294.00"
PI-2023,PC-435,R-1175,256,275
PI-2024,PC-933,SKU1426,772,2798
PI-2025,PC-265,REF-1530,1182,"$2,197.00"
PI-2026,PC-633,SKU1778,1543,1337
PI-2027,PC-269,REF-1092,1927,"$2,462.00"
PI-2028,PC-505,R-1090,1917,2606
PI-2029,PC-916,REF-1783,1307,"2 257,00"
PI-2030,PC-853,SKU1470,107,$121.00
PI-2031,PC-970,REF-1529,1991,"1 317,00"
PI-2032,PC-752,MD-1479,1474,721
PI-2033,PC-22,SKU1469,829,1695
PI-2034,PC-143,R-1355,1608,"$1,645.00"
PI-2035,PC-1013,SKU1346,1239,"$1,507.00"
PI-2036,PC-1212,MD-1227,1471,"$1,909.00"
PI-2037,PC-606,REF-1042,1805,"$1,704.00"
PI-2038,PC-1240,R-1164,288,2818
PI-2039,PC-1498,R-1495,287,"$2,878.00"
PI-2040,PC-1357,SKU1260,971,"$2,898.00"
PI-2041,PC-1059,REF-1745,290,1775
PI-2042,PC-858,MD-1250,594,171
PI-2043,PC-857,REF-1609,903,417
PI-2044,PC-499,R-1119,478,$606.00
PI-2045,PC-1319,SKU1653,320,"$1,134.00"
PI-2046,PC-1162,REF-1734,609,2547
PI-2047,PC-575,MD-1517,663,1296
PI-2048,PC-225,REF-1507,1705,2539
PI-2049,PC-457,REF-1799,644,196
PI-2050,PC-432,MD-1086,1665,2058
PI-2051,PC-1497,MD-1464,1393,372
PI-2052,PC-1367,MD-1792,1877,"$1,981.00"
PI-2053,PC-148,REF-1560,764,$766.00
PI-2054,PC-1044,REF-1432,1941,1190
PI-2055,PC-102,REF-1325,784,$201.00
PI-2056,PC-1112,SKU1459,1780,1203
PI-2057,PC-348,SKU1371,974,1240
PI-2058,PC-339,MD-1427,704,"$2,206.00"
PI-2059,PC-187,REF-1057,420,1824
PI-2060,PC-1384,SKU1662,1677,233
PI-2061,PC-905,MD-1636,1375,2474
PI-2062,PC-1422,R-1652,1180,469
PI-2063,PC-1366,SKU1763,1993,23
PI-2064,PC-142,SKU1506,726,2634
PI-2065,PC-730,REF-1311,1012,$979.00
PI-2066,PC-497,REF-1170,1810,392
PI-2067,PC-1263,REF-1071,1972,"$1,215.00"
PI-2068,PC-127,SKU1658,1341,"$1,858.00"
PI-2069,PC-1134,SKU1585,1869,"528,00"
PI-2070,PC-927,MD-1149,1250,2 958
PI-2071,PC-37,SKU1253,555,1663
PI-2072,PC-1345,R-1631,1633,"$1,604.00"
PI-2073,PC-344,MD-1670,1644,"1 784,00"
PI-2074,PC-618,MD-1496,42,$785.00
PI-2075,PC-1367,R-1047,129,"2 107,00"
PI-2076,PC-1182,REF-1622,955,440
PI-2077,PC-1164,SKU1691,606,2047
