shipment_id,supplier_id,part_number,quantity,unit_cost,order_date,arrival_date,lead_time_days
SHIP-343,MFG-159,PN-7899,151,"60,91",2021-01-24,15-02-2020,9
SHIP-344,MFG-124,PN-4638,104,15.35,2023-05-19,2023-10-17,10
SHIP-345,MFG-109,PN-5940,40,47.3,19-06-2020,2024-12-04,54
SHIP-346,MFG-60,PN-7013,105,24.21,2022-12-06,2023-12-07,28
SHIP-347,MFG-115,PN-5187,167,33.53,09/16/2024,2020-01-12,28
SHIP-348,MFG-80,PN-9796,186,11.34,18-01-2023,11/25/2020,9
SHIP-349,MFG-87,PN-5248,81,46.39,07/24/2023,2024-03-14,29
SHIP-350,MFG-180,PN-1671,26,28,05/05/2023,11/18/2024,15
SHIP-351,MFG-19,PN-6791,181,6.83,2023-09-10,01/28/2020,7
SHIP-352,MFG-96,PN-5440,49,"64,66",2022-11-22,06/18/2024,22
SHIP-353,MFG-181,PN-7727,88,"49,67",2022-03-09,2024-02-28,65
SHIP-354,MFG-143,PN-6734,14,84.75,2021-01-10,06/19/2021,19
SHIP-355,MFG-168,PN-1806,65,"77,89",2024-03-10,2023-07-15,13
SHIP-356,MFG-134,PN-4200,76,"73,99",17-07-2022,2023-04-20,28
SHIP-357,MFG-101,PN-1180,117,6,2020-07-23,2023-03-17,5
SHIP-358,MFG-121,PN-3734,111,"45,18",2020-04-06,2023-09-21,68
SHIP-359,MFG-100,PN-6423,40,68.95,28-02-2022,2023-11-07,23
SHIP-360,MFG-27,PN-1631,99,59.32,2021-01-19,2020-08-14,15
SHIP-361,MFG-63,PN-1554,65,"26,3",2024-12-24,2022-02-19,16
SHIP-362,MFG-28,PN-8114,199,80.02,2020-02-10,2023-03-19,9
SHIP-363,MFG-155,PN-8666,176,"68,49",2020-12-18,2023-09-02,5
SHIP-364,MFG-27,PN-5938,52,"45,37",2021-08-18,04/28/2022,24
SHIP-365,MFG-57,PN-2362,183,30,2020-12-10,14-06-2023,20
SHIP-366,MFG-105,PN-4382,81,95.47,02-02-2021,2020-11-22,58
SHIP-367,MFG-41,PN-8189,31,79.34,2020-01-01,01-01-2024,21
SHIP-368,MFG-18,PN-5398,164,42,2021-02-24,2023-08-13,69
SHIP-369,MFG-150,PN-2482,109,43.59,2021-06-14,28-04-2023,6
SHIP-370,MFG-128,PN-2635,150,84,06/17/2020,2023-07-28,13
SHIP-371,MFG-18,PN-9410,129,"26,16",2021-12-23,2022-11-25,28
SHIP-372,MFG-54,PN-2177,166,26,07-09-2023,2022-06-12,12
SHIP-373,MFG-36,PN-9218,113,24,08/27/2020,2020-02-13,13
SHIP-374,MFG-172,PN-8362,123,20.28,2021-08-11,2021-01-18,26
SHIP-375,MFG-181,PN-9376,40,48.77,2024-10-07,2020-09-28,15
SHIP-376,MFG-19,PN-3701,19,51.89,2020-04-16,2022-08-09,2
SHIP-377,MFG-99,PN-6063,179,100,2023-01-02,18-08-2020,10
SHIP-378,MFG-133,PN-1611,63,38.23,2022-03-05,11/22/2021,30
SHIP-379,MFG-116,PN-7163,84,76.56,27-02-2021,2020-05-26,3
SHIP-380,MFG-21,PN-4594,131,35.64,2022-08-22,01-11-2023,10
SHIP-381,MFG-27,PN-2857,161,25.64,04/17/2023,2020-02-05,17
SHIP-382,MFG-135,PN-6181,2,"72,37",11-08-2022,02-02-2021,20
SHIP-383,MFG-39,PN-6699,118,24,02/17/2024,17-09-2021,29
SHIP-384,MFG-32,PN-6362,190,"69,05",08-09-2024,21-06-2023,30
SHIP-385,MFG-102,PN-6343,195,1.54,2020-10-17,11-07-2020,22
SHIP-386,MFG-54,PN-4652,8,17.82,2023-05-23,12/27/2022,29
SHIP-387,MFG-65,PN-1346,85,36.07,10/05/2024,2022-07-16,14
SHIP-388,MFG-67,PN-5768,179,99.47,21-06-2020,2024-07-21,2
SHIP-389,MFG-96,PN-9648,69,77,12/19/2022,2021-10-12,29
SHIP-390,MFG-138,PN-4451,1,"67,45",03/11/2022,2024-08-01,13
SHIP-391,MFG-129,PN-9940,128,28,08/12/2022,05-12-2020,24
SHIP-392,MFG-140,PN-3294,35,41,05-04-2024,2022-03-14,53
SHIP-393,MFG-171,PN-5845,135,12,08/03/2020,2020-06-09,8
SHIP-394,MFG-14,PN-1089,100,"84,95",2021-12-27,2023-07-01,30
SHIP-395,MFG-125,PN-7811,54,92.3,2023-11-07,11/17/2022,14
SHIP-396,MFG-59,PN-2347,199,93,2023-12-01,2022-07-09,13
SHIP-397,MFG-95,PN-4873,56,43.03,2023-08-24,11-10-2021,8
SHIP-398,MFG-116,PN-3224,17,66,2024-04-22,2024-12-22,15
SHIP-399,MFG-174,PN-6625,48,24.22,2021-07-15,08/06/2020,42
SHIP-400,MFG-151,PN-7862,31,27.58,2022-02-14,2023-06-08,20
SHIP-401,MFG-81,PN-7015,48,1,21-12-2020,12-07-2020,17
SHIP-402,MFG-70,PN-1804,81,51,2021-06-12,2020-09-21,20
SHIP-403,MFG-139,PN-4769,71,69.63,2023-02-22,2023-10-14,20
SHIP-404,MFG-189,PN-3502,55,6,2024-12-05,03/17/2022,16
SHIP-405,MFG-195,PN-5017,107,37,2023-01-24,2024-12-27,19
SHIP-406,MFG-21,PN-5866,155,61,2021-06-04,2024-01-02,21
SHIP-407,MFG-178,PN-7037,36,58,2021-10-15,26-11-2022,3
SHIP-408,MFG-166,PN-6798,49,98.32,2021-08-06,11/27/2023,53
SHIP-409,MFG-144,PN-1738,26,"63,27",2023-04-14,2024-07-18,27
SHIP-410,MFG-85,PN-4098,27,5.22,2022-03-26,2021-03-26,6
SHIP-411,MFG-68,PN-9827,198,"96,65",08/15/2021,2020-09-09,24
SHIP-412,MFG-42,PN-9846,87,"47,47",01/12/2020,26-12-2022,5
SHIP-413,MFG-142,PN-8894,152,70.56,03-06-2024,2023-03-14,15
SHIP-414,MFG-28,PN-3487,84,"39,12",2024-10-18,2023-03-10,1
SHIP-415,MFG-159,PN-6125,75,40.41,2020-11-23,2021-05-20,7
SHIP-416,MFG-110,PN-1561,6,64.7,2020-05-09,2022-01-26,18
SHIP-417,MFG-178,PN-1398,60,31.19,12/27/2022,03/13/2023,3
SHIP-418,MFG-60,PN-5415,179,62,2022-11-06,2022-08-23,30
SHIP-419,MFG-195,PN-7698,155,73.42,09-01-2020,2021-07-09,30
SHIP-420,MFG-71,PN-3534,181,69.22,2020-11-03,04/25/2021,2
SHIP-421,MFG-77,PN-6492,71,18,2021-03-21,2022-08-06,20
SHIP-422,MFG-156,PN-2405,125,"65,04",04/14/2021,2024-05-26,8
SHIP-423,MFG-52,PN-1228,96,"91,55",09/10/2022,06/08/2024,13
SHIP-424,MFG-50,PN-6157,43,83,2021-02-19,09/07/2021,28
SHIP-425,MFG-31,PN-1806,99,47.08,2020-12-22,2020-04-04,3
SHIP-426,MFG-26,PN-5948,177,99.43,02/08/2024,04/20/2023,17
SHIP-427,MFG-37,PN-8357,50,96.48,2021-08-14,2023-08-28,8
SHIP-428,MFG-153,PN-7198,176,64,2024-10-09,08/18/2020,9
SHIP-429,MFG-36,PN-2776,53,7.65,2024-03-17,2023-08-26,22
SHIP-430,MFG-90,PN-2924,15,90,19-04-2023,04/03/2021,19
SHIP-431,MFG-93,PN-7054,74,85.7,2023-08-25,2021-02-22,4
SHIP-432,MFG-178,PN-6540,78,53.71,09/09/2021,2021-08-05,16
SHIP-433,MFG-169,PN-6541,110,47,2020-03-24,06/25/2020,5
SHIP-434,MFG-148,PN-6442,126,90.59,04/01/2024,11/11/2023,26
SHIP-435,MFG-35,PN-4488,182,77,01/07/2022,2022-12-04,26
SHIP-436,MFG-90,PN-7663,122,62.68,03/17/2023,2023-03-04,17
SHIP-437,MFG-128,PN-3542,181,24.66,10/06/2023,02/24/2023,18
SHIP-438,MFG-160,PN-6525,107,23.19,2020-11-09,16-04-2022,10
SHIP-439,MFG-156,PN-8508,30,48,25-01-2023,2024-10-03,3
SHIP-440,MFG-119,PN-9004,55,18.51,2024-04-13,07/01/2024,30
SHIP-441,MFG-54,PN-3480,58,68.35,2020-07-21,2021-10-08,44
SHIP-442,MFG-138,PN-1694,137,"71,95",2023-09-17,05/06/2020,28
SHIP-443,MFG-89,PN-1748,48,"56,43",05/05/2020,12-12-2024,60
SHIP-444,MFG-127,PN-6285,181,"27,76",2021-08-09,2023-04-11,24
SHIP-445,MFG-35,PN-1162,86,94,2024-07-24,2020-03-27,13
SHIP-446,MFG-46,PN-6175,64,"19,1",2023-07-24,07-07-2023,5
SHIP-447,MFG-75,PN-5226,40,95.17,2024-08-21,11/25/2022,18
SHIP-448,MFG-107,PN-3292,78,79.36,23-10-2020,26-02-2021,20
SHIP-449,MFG-189,PN-9229,152,"63,71",2022-09-06,06/10/2020,6
SHIP-450,MFG-147,PN-6200,61,99,2021-07-26,2024-05-23,14
SHIP-451,MFG-93,PN-8239,17,19,06/04/2022,11/13/2023,16
SHIP-452,MFG-81,PN-4541,40,47,2023-09-11,26-07-2022,13
SHIP-453,MFG-164,PN-7652,98,"84,4",2022-11-14,2021-10-26,10
SHIP-454,MFG-57,PN-1632,120,12,2021-12-17,09/21/2021,4
SHIP-455,MFG-81,PN-4058,4,16.25,2021-12-16,2023-01-27,1
SHIP-456,MFG-6,PN-5824,93,40.37,04-01-2023,2020-06-24,19
SHIP-457,MFG-24,PN-7218,148,"51,72",01/15/2022,2020-02-28,29
SHIP-458,MFG-47,PN-9390,171,35.82,2024-06-04,03-01-2021,12
SHIP-459,MFG-96,PN-8234,67,38,2023-09-22,10/23/2023,55
SHIP-460,MFG-39,PN-4574,100,25.79,2024-09-11,2022-08-19,30
SHIP-461,MFG-158,PN-5024,69,19,08/25/2022,2020-06-20,40
SHIP-462,MFG-77,PN-5738,154,"82,38",2022-04-15,01-11-2021,22
SHIP-463,MFG-167,PN-7573,67,85,2022-05-28,2024-11-19,18
SHIP-464,MFG-89,PN-4927,87,93.57,2020-09-20,2022-06-09,1
SHIP-465,MFG-147,PN-5233,101,10.88,11/16/2024,2024-01-26,17
SHIP-466,MFG-194,PN-8502,176,88.65,2024-03-11,24-01-2021,11
SHIP-467,MFG-147,PN-4469,5,"78,98",12/15/2024,06/22/2023,59
SHIP-468,MFG-97,PN-2990,130,"24,73",2023-05-21,07/20/2023,18
SHIP-469,MFG-126,PN-4362,187,77,03-05-2021,2022-10-14,16
SHIP-470,MFG-45,PN-1263,142,30,03/27/2020,2023-11-03,20
SHIP-471,MFG-126,PN-6944,82,35.51,08/24/2020,2023-11-12,14
SHIP-472,MFG-62,PN-8458,159,34,2020-09-15,2024-03-04,25
SHIP-473,MFG-129,PN-6898,152,87,2023-12-02,13-02-2022,28
SHIP-474,MFG-39,PN-9068,74,34.89,04/18/2024,2020-04-05,27
SHIP-475,MFG-181,PN-2787,162,15,2023-03-26,2024-05-06,30
SHIP-476,MFG-187,PN-6719,126,73,2022-09-15,2023-03-17,22
SHIP-477,MFG-154,PN-1156,21,26,09/01/2022,2020-09-11,25
SHIP-478,MFG-69,PN-6930,46,63.03,2022-01-17,22-02-2022,12
SHIP-479,MFG-151,PN-5393,23,78.93,09/14/2022,2024-10-14,26
SHIP-480,MFG-120,PN-9518,107,"72,88",2020-09-07,01/05/2024,8
SHIP-481,MFG-55,PN-1676,95,"84,83",2021-06-27,12/18/2024,29
SHIP-482,MFG-61,PN-6029,116,53,11/22/2021,2020-10-15,20
SHIP-483,MFG-132,PN-1345,151,69,2020-01-11,2021-02-28,21
SHIP-484,MFG-117,PN-2895,165,69,2024-10-22,2021-05-10,5
SHIP-485,MFG-133,PN-8127,155,34.8,06/24/2020,05/14/2024,19
SHIP-486,MFG-38,PN-6206,118,92.58,07/14/2022,04/23/2023,10
SHIP-487,MFG-164,PN-4586,69,"18,87",11/07/2020,08-11-2024,1
SHIP-488,MFG-125,PN-5593,138,30,2023-04-03,2023-10-09,23
SHIP-489,MFG-150,PN-5784,91,4,2020-12-26,26-01-2021,14
SHIP-490,MFG-175,PN-9215,56,29,2020-10-11,21-01-2021,26
SHIP-491,MFG-18,PN-6564,136,"76,58",2023-02-14,2020-10-24,10
SHIP-492,MFG-37,PN-2671,119,40,04/14/2021,01/23/2023,4
SHIP-493,MFG-186,PN-8805,127,74.74,2022-05-24,2022-03-18,56
SHIP-494,MFG-111,PN-7219,67,"92,37",2022-10-05,2022-09-28,20
SHIP-495,MFG-3,PN-3935,26,96,10-04-2022,2023-08-28,22
SHIP-496,MFG-121,PN-8728,65,71.03,2024-05-01,11/02/2024,5
SHIP-497,MFG-87,PN-2959,24,19.55,19-08-2022,2022-10-03,26
SHIP-498,MFG-105,PN-5034,110,"45,39",2020-02-06,2021-01-26,12
SHIP-499,MFG-177,PN-7746,53,82.96,2021-03-15,03/23/2020,13
SHIP-500,MFG-176,PN-8237,194,"43,64",10/07/2023,06-03-2021,54
SHIP-501,MFG-68,PN-1420,62,30,2022-05-07,2024-08-07,50
SHIP-502,MFG-184,PN-1677,191,55,2022-11-19,21-04-2020,6
SHIP-503,MFG-1,PN-3664,99,70.09,09-04-2024,2021-11-21,22
SHIP-504,MFG-63,PN-9813,19,"38,06",28-02-2020,2023-10-14,19
SHIP-505,MFG-145,PN-5325,195,46.7,2023-07-21,09-06-2023,8
SHIP-506,MFG-129,PN-3490,169,30.53,17-12-2024,2022-06-06,5
SHIP-507,MFG-22,PN-1827,156,11,2020-08-19,2020-01-23,30
SHIP-508,MFG-130,PN-3744,53,"58,46",2020-04-22,2023-02-02,18
SHIP-509,MFG-79,PN-9499,73,34.05,2024-03-11,2024-07-07,27
SHIP-510,MFG-103,PN-6010,155,"77,54",2024-04-24,2020-10-22,1
SHIP-511,MFG-33,PN-6358,89,53.83,2024-11-28,2020-09-26,1
SHIP-512,MFG-170,PN-4991,150,"71,6",07/12/2022,2021-01-09,15
SHIP-513,MFG-46,PN-4108,191,68,2022-12-12,04/15/2021,4
SHIP-514,MFG-160,PN-1785,20,87,2020-02-19,01/15/2020,1
SHIP-515,MFG-13,PN-6342,142,90,2022-05-24,07/17/2024,13
SHIP-516,MFG-46,PN-3070,119,15.8,2020-02-11,2024-12-22,24
SHIP-517,MFG-196,PN-3203,53,"91,73",01/14/2023,2022-09-28,5
SHIP-518,MFG-117,PN-8932,47,23.46,2022-08-22,25-02-2020,30
SHIP-519,MFG-154,PN-8207,50,"4,14",2024-06-21,09/18/2022,30
SHIP-520,MFG-102,PN-1711,190,74.74,2020-10-14,2024-11-08,36
SHIP-521,MFG-92,PN-1696,67,35.82,25-10-2024,2023-08-09,16
SHIP-522,MFG-159,PN-8872,63,99.14,09/13/2024,2023-08-10,3
SHIP-523,MFG-153,PN-1537,86,"16,74",28-10-2022,2021-12-11,2
SHIP-524,MFG-134,PN-9783,155,"38,05",03/25/2020,03/19/2022,16
SHIP-525,MFG-167,PN-2143,193,81,01-11-2023,2023-01-13,25
SHIP-526,MFG-115,PN-5328,91,"98,44",07/18/2020,2021-12-28,20
SHIP-527,MFG-166,PN-3059,84,"67,17",2023-09-12,06/03/2024,6
SHIP-528,MFG-32,PN-3901,165,12.39,2023-08-23,11/15/2022,1
SHIP-529,MFG-80,PN-8479,129,14,09/23/2022,2022-05-23,18
SHIP-530,MFG-39,PN-5647,75,32.6,2021-01-26,2022-09-10,3
SHIP-531,MFG-6,PN-1155,174,"98,77",2020-02-21,08/15/2022,26
SHIP-532,MFG-106,PN-3702,37,69.14,2022-11-18,23-07-2023,29
SHIP-533,MFG-159,PN-8837,58,"37,11",2021-04-04,09/04/2023,47
SHIP-534,MFG-46,PN-3186,154,51,04/06/2021,12/23/2024,29
SHIP-535,MFG-94,PN-3226,104,75.77,2023-08-12,04/06/2024,10
SHIP-536,MFG-19,PN-6148,50,70.1,2023-01-28,12/19/2022,4
SHIP-537,MFG-22,PN-6006,127,73.53,2022-01-05,04-09-2022,18
SHIP-538,MFG-169,PN-2713,184,96,12/08/2022,08/15/2021,8
SHIP-539,MFG-197,PN-1617,160,2.7,06-07-2022,2024-09-21,29
SHIP-540,MFG-44,PN-6648,119,80.79,2021-12-12,05/19/2024,16
SHIP-541,MFG-126,PN-6821,65,50,10-11-2023,2023-07-12,5
SHIP-542,MFG-184,PN-1904,53,74.67,01/22/2021,01-03-2022,23
SHIP-543,MFG-166,PN-7946,101,"48,66",2023-11-10,11/01/2022,3
SHIP-544,MFG-123,PN-6761,29,8.12,09/06/2023,12/18/2024,20
SHIP-545,MFG-12,PN-3241,11,83,2022-10-18,10/02/2024,29
SHIP-546,MFG-96,PN-8625,180,16.2,11/09/2021,2022-06-07,25
SHIP-547,MFG-98,PN-3149,78,"95,49",09/27/2024,05-03-2023,13
SHIP-548,MFG-55,PN-4157,27,23.07,2021-04-13,2022-01-07,2
SHIP-549,MFG-124,PN-5859,72,13.35,10/17/2024,05-01-2024,13
SHIP-550,MFG-40,PN-1091,31,72,2024-02-11,2022-11-15,21
SHIP-551,MFG-121,PN-3814,65,7.29,03/22/2021,11-06-2020,3
SHIP-552,MFG-110,PN-1282,11,43.68,2020-08-16,2023-02-12,30
SHIP-553,MFG-90,PN-4242,158,"42,53",2020-05-06,2024-08-14,27
SHIP-554,MFG-170,PN-3231,25,56.88,2022-10-17,07/27/2022,23
SHIP-555,MFG-194,PN-4262,156,41,2021-10-08,11/24/2020,24
SHIP-556,MFG-180,PN-4702,160,66.8,12/26/2022,2022-09-21,24
SHIP-557,MFG-49,PN-1566,84,51.47,2023-11-27,08-10-2022,23
SHIP-558,MFG-32,PN-4126,63,15.2,05/17/2024,2021-08-17,7
SHIP-559,MFG-74,PN-5070,183,51,12/09/2022,2023-02-06,19
SHIP-560,MFG-86,PN-6932,180,"27,1",04/24/2023,13-09-2021,7
SHIP-561,MFG-84,PN-3359,54,"8,36",2021-10-23,07/18/2024,52
SHIP-562,MFG-88,PN-6460,24,71.23,19-02-2021,2023-09-18,26
SHIP-563,MFG-157,PN-8074,192,56,2021-10-07,2021-01-20,13
SHIP-564,MFG-148,PN-4098,193,10.33,28-11-2021,07/05/2020,29
SHIP-565,MFG-121,PN-7523,89,70,05/09/2023,2023-06-10,9
SHIP-566,MFG-31,PN-7148,165,4.81,2020-06-03,2022-01-27,12
SHIP-567,MFG-36,PN-6315,117,68,2022-10-20,01/10/2020,7
SHIP-568,MFG-83,PN-2871,110,91,05-12-2024,09/26/2023,11
SHIP-569,MFG-114,PN-7298,93,61,03-07-2023,2020-01-10,32
SHIP-570,MFG-69,PN-2175,134,99,2021-02-18,15-03-2020,2
SHIP-571,MFG-189,PN-7564,30,94.24,2024-11-15,13-12-2024,7
SHIP-572,MFG-14,PN-9015,157,86.31,11/10/2023,2024-10-10,32
SHIP-573,MFG-12,PN-4213,4,98,2023-01-24,2022-12-05,52
SHIP-574,MFG-199,PN-8460,109,17.99,04/19/2020,2024-04-07,4
SHIP-575,MFG-87,PN-5867,13,"90,94",20-07-2021,20-02-2021,12
SHIP-576,MFG-55,PN-4709,27,"11,68",18-08-2023,23-11-2021,15
SHIP-577,MFG-3,PN-6758,94,"73,34",2022-10-08,2023-12-22,11
SHIP-578,MFG-187,PN-6924,42,78,2021-01-25,2020-10-24,27
SHIP-579,MFG-198,PN-4298,175,13.81,2022-12-22,12-01-2021,24
SHIP-580,MFG-87,PN-5859,199,15,01-04-2023,04/08/2020,1
SHIP-581,MFG-174,PN-2029,152,"14,78",2022-02-15,08-05-2022,23
SHIP-582,MFG-15,PN-4081,155,34.8,08/13/2020,2022-01-11,28
SHIP-583,MFG-70,PN-1654,137,20.08,2020-04-07,2023-04-25,7
SHIP-584,MFG-192,PN-3023,121,"15,82",2021-09-09,2024-08-09,17
SHIP-585,MFG-26,PN-9281,144,"95,04",10/10/2022,2021-05-14,29
SHIP-586,MFG-95,PN-7857,42,"92,22",10/08/2020,2024-04-26,10
SHIP-587,MFG-194,PN-7748,152,54.77,2023-12-20,19-12-2024,14
SHIP-588,MFG-7,PN-3022,136,100,2020-07-24,03/11/2024,36
SHIP-589,MFG-34,PN-1504,185,6,2020-06-16,2021-03-15,27
SHIP-590,MFG-63,PN-6649,199,75.27,02/13/2022,2023-05-18,16
SHIP-591,MFG-13,PN-5178,124,75.64,02/12/2021,03/15/2022,8
SHIP-592,MFG-113,PN-4042,19,34,2020-12-28,2024-06-09,10
SHIP-593,MFG-117,PN-1076,1,"93,96",07-08-2024,05/05/2021,24
SHIP-594,MFG-48,PN-9791,89,60,2020-05-07,2021-12-19,21
SHIP-595,MFG-122,PN-3555,32,53.68,2022-12-21,2021-05-21,27
SHIP-596,MFG-19,PN-2251,105,"23,67",2020-05-14,2021-10-24,17
SHIP-597,MFG-135,PN-6754,133,96.6,2022-07-24,2022-11-28,69
SHIP-598,MFG-37,PN-5804,30,"93,99",15-04-2020,2024-10-03,13
SHIP-599,MFG-3,PN-1944,43,"40,2",2023-02-27,2024-05-27,51
SHIP-600,MFG-147,PN-6905,183,84.69,10-05-2023,03/25/2023,16
SHIP-601,MFG-137,PN-4768,192,99,12/22/2021,2020-04-04,4
SHIP-602,MFG-80,PN-1584,32,2.13,2024-01-20,06/16/2022,25
SHIP-603,MFG-59,PN-1489,53,50.17,08-02-2024,2023-09-22,6
SHIP-604,MFG-26,PN-7081,25,30,2023-03-12,10-09-2020,26
SHIP-605,MFG-15,PN-2621,141,73.8,2024-06-01,2020-10-01,20
SHIP-606,MFG-159,PN-4089,199,52.86,06/13/2022,06/18/2024,17
SHIP-607,MFG-105,PN-7324,80,41,01-04-2021,12-08-2021,9
SHIP-608,MFG-35,PN-6499,162,"49,29",2024-08-16,2024-04-26,11
SHIP-609,MFG-59,PN-5673,90,29.52,08/03/2023,2024-08-10,40
SHIP-610,MFG-180,PN-5939,54,69,2024-01-04,2024-02-12,9
SHIP-611,MFG-31,PN-1348,77,16.36,2020-10-04,2021-11-13,48
SHIP-612,MFG-135,PN-8897,132,86.55,12/12/2021,2024-03-01,25
SHIP-613,MFG-167,PN-2093,141,44,2023-12-03,26-12-2024,5
SHIP-614,MFG-56,PN-8332,85,20.01,2024-12-09,2021-04-13,25
SHIP-615,MFG-43,PN-7969,116,38.26,2021-02-16,2024-09-25,28
SHIP-616,MFG-121,PN-6464,176,20.35,05-03-2020,06-10-2021,17
SHIP-617,MFG-30,PN-8026,63,"6,69",2022-05-10,01/08/2020,30
SHIP-618,MFG-193,PN-8558,118,42.33,2024-05-27,10/24/2024,20
SHIP-619,MFG-62,PN-8118,70,4.97,18-04-2023,02-11-2020,1
SHIP-620,MFG-60,PN-8732,158,75,03/07/2020,2021-04-21,3
SHIP-621,MFG-184,PN-9987,137,85.83,2021-07-21,2020-06-14,2
SHIP-622,MFG-33,PN-6629,68,"71,01",2021-09-07,2021-09-06,27
SHIP-623,MFG-131,PN-9543,159,"86,45",2021-04-26,01/10/2024,26
SHIP-624,MFG-132,PN-7099,71,5,04/06/2020,23-10-2020,7
SHIP-625,MFG-58,PN-5046,47,90.8,2022-08-25,03-03-2021,18
SHIP-626,MFG-43,PN-1630,97,78.23,2021-06-13,06/19/2022,7
SHIP-627,MFG-60,PN-1138,41,19.71,2024-09-20,2020-08-04,58
SHIP-628,MFG-94,PN-1628,129,53,02/18/2023,26-05-2021,7
SHIP-629,MFG-29,PN-4696,96,94,2021-10-15,2023-05-28,27
SHIP-630,MFG-172,PN-6477,162,52.84,2021-06-06,2021-02-20,3
SHIP-631,MFG-169,PN-8065,143,55.09,11/28/2023,2024-03-04,42
SHIP-632,MFG-103,PN-1400,58,55,15-03-2023,2023-07-21,6
SHIP-633,MFG-150,PN-3896,149,"66,99",05/07/2020,2022-07-05,17
SHIP-634,MFG-177,PN-9612,131,37,03/09/2022,25-06-2021,15
SHIP-635,MFG-97,PN-9142,51,26.74,11/01/2023,08-07-2021,30
SHIP-636,MFG-25,PN-6215,83,21.41,2022-07-07,2021-02-15,12
SHIP-637,MFG-131,PN-2619,186,"84,7",2021-09-21,2022-06-11,24
SHIP-638,MFG-156,PN-9898,150,79.62,26-07-2020,11/15/2021,5
SHIP-639,MFG-117,PN-1497,119,31.58,06/04/2021,2020-06-13,1
SHIP-640,MFG-58,PN-1813,102,"31,78",2020-11-06,2024-10-22,15
SHIP-641,MFG-172,PN-4431,98,44.84,2024-05-28,2020-10-05,17
SHIP-642,MFG-31,PN-8678,132,"73,84",2023-01-11,2024-08-02,15
SHIP-643,MFG-33,PN-4506,81,"83,79",10/12/2024,04/05/2022,20
SHIP-644,MFG-61,PN-9509,104,57.46,04-10-2022,01/16/2021,4
SHIP-645,MFG-83,PN-4656,15,62.36,2022-03-01,2021-05-21,4
SHIP-646,MFG-66,PN-1566,5,38.59,2020-01-20,26-10-2023,16
SHIP-647,MFG-78,PN-1493,85,50.28,2023-04-09,26-01-2021,5
SHIP-648,MFG-186,PN-1941,113,38.58,09-12-2022,08/22/2023,5
SHIP-649,MFG-107,PN-5390,28,65,23-01-2021,2020-05-05,6
SHIP-650,MFG-186,PN-5098,172,28.02,05/14/2022,2021-10-03,12
SHIP-651,MFG-59,PN-1837,145,36.86,2020-03-05,2024-04-21,20
SHIP-652,MFG-199,PN-1241,101,60.12,2020-05-21,2022-11-11,30
SHIP-653,MFG-156,PN-6691,38,58.9,2023-10-26,2023-12-05,12
SHIP-654,MFG-157,PN-2266,58,14,2021-09-21,2023-01-05,11
SHIP-655,MFG-105,PN-3721,125,90,06/04/2020,2022-08-14,29
SHIP-656,MFG-54,PN-5133,132,85.75,12/21/2022,11/27/2020,8
SHIP-657,MFG-156,PN-2324,166,57,21-12-2020,2023-12-15,14
SHIP-658,MFG-54,PN-3536,189,59,2020-06-28,04-11-2021,16
SHIP-659,MFG-119,PN-8308,37,101,2024-08-06,2021-08-14,27
SHIP-660,MFG-101,PN-4303,61,93,2021-05-02,2021-11-20,21
SHIP-661,MFG-46,PN-1760,132,8.54,02/12/2020,2020-05-02,26
SHIP-662,MFG-102,PN-6416,196,30.09,2022-01-23,2021-02-09,5
SHIP-663,MFG-2,PN-8980,73,91,2022-07-05,2022-02-19,9
SHIP-664,MFG-109,PN-6149,156,64,07/03/2021,05/27/2020,19
SHIP-665,MFG-68,PN-7033,80,38.77,26-05-2020,2021-12-10,3
SHIP-666,MFG-110,PN-7132,93,14.09,06-01-2020,2021-12-27,28
SHIP-667,MFG-93,PN-8141,83,3,25-08-2023,22-02-2021,29
SHIP-668,MFG-14,PN-3365,112,93.98,2020-06-06,22-02-2020,9
SHIP-669,MFG-145,PN-3403,161,21,2023-02-01,2024-07-27,6
SHIP-670,MFG-105,PN-3041,169,83,2023-05-16,2022-02-02,46
SHIP-671,MFG-39,PN-7797,161,59,08/26/2020,2022-05-27,52
SHIP-672,MFG-200,PN-3639,155,93,06/17/2021,2024-10-10,30
SHIP-673,MFG-184,PN-8845,55,55.11,2023-07-12,24-12-2022,29
SHIP-674,MFG-170,PN-3335,123,34,2023-12-10,11-06-2023,23
SHIP-675,MFG-91,PN-9923,43,65,2024-01-16,06/25/2021,7
SHIP-676,MFG-115,PN-6397,188,26,07/20/2021,12/09/2021,48
SHIP-677,MFG-181,PN-2191,98,"50,74",2022-03-13,2020-05-23,4
SHIP-678,MFG-64,PN-4270,108,12,2024-05-05,02/07/2024,20
SHIP-679,MFG-69,PN-2271,152,42.68,05/20/2024,27-08-2022,9
SHIP-680,MFG-137,PN-8695,164,67,2020-06-15,02/16/2021,2
SHIP-681,MFG-24,PN-6179,180,"78,28",07/05/2022,2021-02-19,22
SHIP-682,MFG-114,PN-7917,167,96.18,2020-06-18,2021-02-26,20
SHIP-683,MFG-121,PN-5105,134,39.7,22-10-2020,02/09/2021,25
SHIP-684,MFG-200,PN-7264,69,27,2020-04-25,2024-06-24,20
SHIP-685,MFG-94,PN-6272,87,10,2024-07-08,2021-05-28,52
SHIP-686,MFG-132,PN-3768,181,6,2022-05-16,09/22/2023,22
