escalation_id,ticket_id,escalated_at,reason
ES-576,ST-378,2025-04-02,技术疑难
ES-577,ST-1174,04/02/2026,SLA 超时
ES-578,ST-3551,2025-08-20,SLA 超时
ES-579,ST-3477,12-07-2026,客户投诉
ES-580,ST-2694,2026-06-12,客户经理要求
ES-581,ST-612,2026-11-26,技术疑难
ES-582,ST-3790,2026-11-13,SLA 超时
ES-583,ST-3070,2026-11-24,技术疑难
ES-584,ST-364,2025-02-11,客户投诉
ES-585,ST-3553,2025-10-28,SLA 超时
ES-586,ST-2507,03/13/2026,SLA 超时
ES-587,ST-3604,2026-03-04,客户投诉
ES-588,ST-1110,2025-07-23,客户经理要求
ES-589,ST-2351,06/06/2025,客户经理要求
ES-590,ST-1852,10/15/2025,客户经理要求
ES-591,ST-3483,24-04-2026,客户投诉
ES-592,ST-3429,2025-03-21,技术疑难
ES-593,ST-3379,01/03/2025,技术疑难
ES-594,ST-3999,2025-04-21,SLA 超时
ES-595,ST-632,19-04-2026,客户投诉
ES-596,ST-1892,08/08/2026,客户经理要求
ES-597,ST-650,2026-01-04,客户投诉
ES-598,ST-3821,2025-06-09,SLA 超时
ES-599,ST-1818,2026-11-17,SLA 超时
ES-600,ST-2380,2025-11-16,技术疑难
